Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     155 |         155 |       00:01:35 |       96.79% |       95.51% |       0.1048 |       0.1542 |          0.0100 |
|     156 |         156 |       00:01:36 |       96.88% |       95.62% |       0.1023 |       0.1514 |          0.0100 |
|     157 |         157 |       00:01:36 |       97.00% |       95.67% |       0.1002 |       0.1495 |          0.0100 |
|     158 |         158 |       00:01:37 |       97.03% |       95.63% |       0.0983 |       0.1510 |          0.0100 |
|     159 |         159 |       00:01:38 |       97.02% |       95.65% |       0.0970 |       0.1498 |          0.0100 |
|     160 |         160 |       00:01:38 |       97.06% |       95.51% |       0.0961 |       0.1500 |          0.0100 |
|     161 |         161 |       00:01:39 |       96.98% |       95.35% |       0.0970 |       0.1559 |          0.0100 |
|     162 |         162 |       00:01:39 |       96.98% |       95.43% |       0.0973 |       0.1584 |          0.0100 |
|     163 |         163 |       00:01:40 |       96.95% |       95.44% |       0.0984 |       0.1571 |          0.0100 |
|     164 |         164 |       00:01:41 |       96.94% |       95.49% |       0.0998 |       0.1540 |          0.0100 |
|     165 |         165 |       00:01:41 |       96.94% |       95.77% |       0.0998 |       0.1505 |          0.0100 |
|     166 |         166 |       00:01:42 |       96.91% |       95.83% |       0.0988 |       0.1483 |          0.0100 |
|     167 |         167 |       00:01:42 |       96.97% |       95.72% |       0.0980 |       0.1495 |          0.0100 |
|     168 |         168 |       00:01:43 |       96.96% |       95.81% |       0.0981 |       0.1447 |          0.0100 |
|     169 |         169 |       00:01:44 |       96.90% |       95.79% |       0.0994 |       0.1451 |          0.0100 |
|     170 |         170 |       00:01:44 |       96.91% |       95.75% |       0.0999 |       0.1453 |          0.0100 |
|     171 |         171 |       00:01:45 |       96.98% |       95.65% |       0.0988 |       0.1459 |          0.0100 |
|     172 |         172 |       00:01:45 |       96.95% |       95.77% |       0.0985 |       0.1475 |          0.0100 |
|     173 |         173 |       00:01:46 |       96.97% |       95.73% |       0.0988 |       0.1473 |          0.0100 |
|     174 |         174 |       00:01:47 |       97.01% |       95.60% |       0.0984 |       0.1478 |          0.0100 |
|     175 |         175 |       00:01:47 |       97.04% |       95.58% |       0.0973 |       0.1476 |          0.0100 |
|     176 |         176 |       00:01:48 |       97.03% |       95.61% |       0.0966 |       0.1530 |          0.0100 |
|     177 |         177 |       00:01:48 |       97.03% |       95.53% |       0.0960 |       0.1548 |          0.0100 |
|     178 |         178 |       00:01:49 |       96.96% |       95.58% |       0.0961 |       0.1545 |          0.0100 |
|     179 |         179 |       00:01:50 |       96.85% |       95.63% |       0.0985 |       0.1528 |          0.0100 |
|     180 |         180 |       00:01:50 |       96.90% |       95.75% |       0.0979 |       0.1495 |          0.0100 |
|     181 |         181 |       00:01:51 |       96.94% |       95.47% |       0.0976 |       0.1498 |          0.0100 |
|     182 |         182 |       00:01:51 |       96.99% |       95.72% |       0.0965 |       0.1490 |          0.0100 |
|     183 |         183 |       00:01:52 |       96.97% |       95.78% |       0.0951 |       0.1490 |          0.0100 |
|     184 |         184 |       00:01:52 |       97.03% |       96.00% |       0.0929 |       0.1478 |          0.0100 |
|     185 |         185 |       00:01:53 |       97.15% |       95.89% |       0.0913 |       0.1488 |          0.0100 |
|     186 |         186 |       00:01:54 |       97.16% |       95.88% |       0.0922 |       0.1472 |          0.0100 |
|     187 |         187 |       00:01:54 |       97.11% |       95.79% |       0.0920 |       0.1485 |          0.0100 |
|     188 |         188 |       00:01:55 |       97.12% |       95.66% |       0.0915 |       0.1476 |          0.0100 |
|     189 |         189 |       00:01:55 |       97.10% |       95.67% |       0.0922 |       0.1464 |          0.0100 |
|     190 |         190 |       00:01:56 |       97.07% |       95.60% |       0.0930 |       0.1477 |          0.0100 |
|     191 |         191 |       00:01:57 |       97.13% |       95.66% |       0.0935 |       0.1519 |          0.0100 |
|     192 |         192 |       00:01:57 |       97.01% |       95.56% |       0.0957 |       0.1520 |          0.0100 |
|     193 |         193 |       00:01:58 |       97.01% |       95.64% |       0.0967 |       0.1518 |          0.0100 |
|     194 |         194 |       00:01:58 |       97.07% |       95.58% |       0.0949 |       0.1485 |          0.0100 |
|     195 |         195 |       00:01:59 |       97.05% |       95.76% |       0.0940 |       0.1443 |          0.0100 |
|     196 |         196 |       00:02:00 |       97.08% |       95.92% |       0.0926 |       0.1417 |          0.0100 |
|     197 |         197 |       00:02:00 |       97.19% |       96.02% |       0.0894 |       0.1389 |          0.0100 |
|     198 |         198 |       00:02:01 |       97.18% |       95.99% |       0.0888 |       0.1416 |          0.0100 |
|     199 |         199 |       00:02:01 |       97.18% |       95.97% |       0.0897 |       0.1409 |          0.0100 |
|     200 |         200 |       00:02:02 |       97.20% |       95.88% |       0.0893 |       0.1419 |          0.0100 |
|     201 |         201 |       00:02:03 |       97.13% |       95.89% |       0.0903 |       0.1416 |          0.0010 |
|     202 |         202 |       00:02:03 |       97.15% |       95.90% |       0.0894 |       0.1415 |          0.0010 |
|     203 |         203 |       00:02:04 |       97.19% |       95.92% |       0.0883 |       0.1412 |          0.0010 |
|     204 |         204 |       00:02:04 |       97.23% |       95.91% |       0.0870 |       0.1410 |          0.0010 |
|     205 |         205 |       00:02:05 |       97.29% |       95.89% |       0.0858 |       0.1410 |          0.0010 |
|     206 |         206 |       00:02:06 |       97.34% |       95.90% |       0.0846 |       0.1407 |          0.0010 |
|     207 |         207 |       00:02:06 |       97.39% |       95.92% |       0.0837 |       0.1405 |          0.0010 |
|     208 |         208 |       00:02:07 |       97.42% |       95.90% |       0.0826 |       0.1406 |          0.0010 |
|     209 |         209 |       00:02:07 |       97.46% |       95.92% |       0.0816 |       0.1405 |          0.0010 |
|     210 |         210 |       00:02:08 |       97.51% |       95.99% |       0.0809 |       0.1404 |          0.0010 |
|     211 |         211 |       00:02:09 |       97.53% |       95.99% |       0.0800 |       0.1403 |          0.0010 |
|     212 |         212 |       00:02:09 |       97.57% |       96.00% |       0.0794 |       0.1404 |          0.0010 |
|     213 |         213 |       00:02:10 |       97.61% |       95.99% |       0.0787 |       0.1400 |          0.0010 |
|     214 |         214 |       00:02:10 |       97.64% |       96.05% |       0.0777 |       0.1396 |          0.0010 |
|     215 |         215 |       00:02:11 |       97.65% |       96.03% |       0.0771 |       0.1399 |          0.0010 |
|     216 |         216 |       00:02:12 |       97.69% |       96.00% |       0.0764 |       0.1399 |          0.0010 |
|     217 |         217 |       00:02:12 |       97.69% |       96.03% |       0.0760 |       0.1398 |          0.0010 |
|     218 |         218 |       00:02:13 |       97.72% |       96.07% |       0.0754 |       0.1393 |          0.0010 |
|     219 |         219 |       00:02:13 |       97.72% |       96.09% |       0.0749 |       0.1391 |          0.0010 |
|     220 |         220 |       00:02:14 |       97.73% |       96.09% |       0.0746 |       0.1397 |          0.0010 |
|     221 |         221 |       00:02:15 |       97.75% |       96.07% |       0.0741 |       0.1397 |          0.0010 |
|     222 |         222 |       00:02:15 |       97.76% |       96.04% |       0.0737 |       0.1397 |          0.0010 |
|     223 |         223 |       00:02:16 |       97.78% |       96.04% |       0.0733 |       0.1397 |          0.0010 |
|     224 |         224 |       00:02:16 |       97.80% |       96.05% |       0.0728 |       0.1394 |          0.0010 |
|     225 |         225 |       00:02:17 |       97.81% |       96.12% |       0.0724 |       0.1390 |          0.0010 |
|     226 |         226 |       00:02:18 |       97.82% |       96.09% |       0.0720 |       0.1387 |          0.0010 |
|     227 |         227 |       00:02:18 |       97.82% |       96.07% |       0.0717 |       0.1385 |          0.0010 |
|     228 |         228 |       00:02:19 |       97.85% |       96.06% |       0.0713 |       0.1384 |          0.0010 |
|     229 |         229 |       00:02:19 |       97.84% |       96.07% |       0.0709 |       0.1382 |          0.0010 |
|     230 |         230 |       00:02:20 |       97.86% |       96.07% |       0.0706 |       0.1381 |          0.0010 |
|     231 |         231 |       00:02:21 |       97.87% |       96.06% |       0.0703 |       0.1381 |          0.0010 |
|     232 |         232 |       00:02:21 |       97.88% |       96.11% |       0.0700 |       0.1380 |          0.0010 |
|     233 |         233 |       00:02:22 |       97.87% |       96.13% |       0.0698 |       0.1377 |          0.0010 |
|     234 |         234 |       00:02:23 |       97.88% |       96.15% |       0.0696 |       0.1377 |          0.0010 |
|     235 |         235 |       00:02:23 |       97.87% |       96.17% |       0.0694 |       0.1376 |          0.0010 |
|     236 |         236 |       00:02:24 |       97.89% |       96.16% |       0.0691 |       0.1375 |          0.0010 |
|     237 |         237 |       00:02:24 |       97.89% |       96.15% |       0.0690 |       0.1375 |          0.0010 |
|     238 |         238 |       00:02:25 |       97.89% |       96.17% |       0.0688 |       0.1373 |          0.0010 |
|     239 |         239 |       00:02:26 |       97.90% |       96.14% |       0.0686 |       0.1372 |          0.0010 |
|     240 |         240 |       00:02:26 |       97.91% |       96.13% |       0.0683 |       0.1371 |          0.0010 |
|     241 |         241 |       00:02:27 |       97.92% |       96.10% |       0.0681 |       0.1371 |          0.0010 |
|     242 |         242 |       00:02:27 |       97.92% |       96.13% |       0.0680 |       0.1369 |          0.0010 |
|     243 |         243 |       00:02:28 |       97.92% |       96.13% |       0.0678 |       0.1366 |          0.0010 |
|     244 |         244 |       00:02:29 |       97.93% |       96.14% |       0.0676 |       0.1362 |          0.0010 |
|     245 |         245 |       00:02:29 |       97.93% |       96.13% |       0.0675 |       0.1360 |          0.0010 |
|     246 |         246 |       00:02:30 |       97.93% |       96.15% |       0.0673 |       0.1360 |          0.0010 |
|     247 |         247 |       00:02:30 |       97.94% |       96.18% |       0.0672 |       0.1363 |          0.0010 |
|     248 |         248 |       00:02:31 |       97.95% |       96.17% |       0.0670 |       0.1365 |          0.0010 |
|     249 |         249 |       00:02:32 |       97.95% |       96.18% |       0.0668 |       0.1364 |          0.0010 |
|     250 |         250 |       00:02:32 |       97.96% |       96.19% |       0.0667 |       0.1362 |          0.0010 |
|     251 |         251 |       00:02:33 |       97.96% |       96.19% |       0.0665 |       0.1359 |          0.0010 |
|     252 |         252 |       00:02:33 |       97.98% |       96.20% |       0.0664 |       0.1357 |          0.0010 |
|     253 |         253 |       00:02:34 |       97.98% |       96.19% |       0.0662 |       0.1355 |          0.0010 |
|     254 |         254 |       00:02:35 |       97.99% |       96.17% |       0.0661 |       0.1353 |          0.0010 |
|     255 |         255 |       00:02:35 |       98.00% |       96.18% |       0.0660 |       0.1353 |          0.0010 |
|     256 |         256 |       00:02:36 |       98.01% |       96.19% |       0.0659 |       0.1354 |          0.0010 |
|     257 |         257 |       00:02:36 |       98.02% |       96.22% |       0.0657 |       0.1356 |          0.0010 |
|     258 |         258 |       00:02:37 |       98.02% |       96.20% |       0.0656 |       0.1357 |          0.0010 |
|     259 |         259 |       00:02:38 |       98.02% |       96.22% |       0.0655 |       0.1359 |          0.0010 |
|     260 |         260 |       00:02:38 |       98.03% |       96.21% |       0.0654 |       0.1359 |          0.0010 |
|     261 |         261 |       00:02:39 |       98.03% |       96.22% |       0.0652 |       0.1357 |          0.0010 |
|     262 |         262 |       00:02:39 |       98.03% |       96.23% |       0.0651 |       0.1356 |          0.0010 |
